Dealership Name,Street Address,City,State,ZIP,Classification,Owner,CSM,FAM,Status
Auto House USA,1134 Broadway,Saugus,MA,01906,Independent L2,Sam Kost,Vick Halwadjian,,Complete
Central Chevrolet Inc,675 Memorial Ave,West Springfield,MA,01089,Franchise L1,Gilda Banos,Joshua Ameen,,Complete
Haddad Subaru,652 East St,Pittsfield,MA,01201,Franchise L3,Joseph Molk,Casey Smith,,Complete
Landes Family Auto Sales,859 Washington St,Attleboro,MA,02703,Independent L1,Ghaizel Espinal,Kieaux Kimmon,,Complete
Mercedes-Benz of Shrewsbury,Boston Turnpike,Shrewsbury,MA,01545,Franchise L1,Jeremyah Rivera,Kate Cooper,,Complete
Midstate Mitsubishi,810 Washington St,Auburn,MA,01501,Franchise L1,Jeremyah Rivera,Kate Cooper,,Complete
Bahnans Auto Sales,359 Chandler Street,Worcester,MA,01602,SDT,Rob Frey,,,Complete
Frontline Motors Inc,759 Meadow Street,Chicopee,MA,01013,SDT,Taylor Mulready,,,Complete
McGovern Hyundai of Arlington,1125 Mass Ave,Arlington,MA,02476,Metro,Rebeca Cortazio,,Jonathan Noller,Complete
Furnace Brook Motors,561 Foundry St,South Easton,MA,02375,Independent L1,Ahmed Mustafa,Stephanie Kling,,Complete
V & F Auto Sales,7 Harding St,Agawam,MA,01001,SDT,Michael McKelvey,,,Complete
Matt McGovern Auto Group,770 Boston Turnpike,Shrewsbury,MA,01545,Metro,Rebeca Cortazio,,Jonathan Noller,Complete
Bob Pion Cars,,,MA,,Franchise L1,Guhan Aravinthan,Nick Rudomin,,Missing (Chicopee location - need specific address)
Colonial Automotive Group,231 Linden St,Wellesley,MA,02882,Metro,Rebeca Cortazio,,Jonathan Noller,Complete
Tufankjian's Used Cars of Weymouth,720 Bridge St,North Weymouth,MA,02191,Franchise L1,PJ Abplanalp,Joshua Ameen,,Complete (SPID 312706)
Village Automotive Group,75 N Beacon St,Allston,MA,02134,Metro,Rebeca Cortazio,,Jonathan Noller,Complete (SPID 342045)
Carbidz.net,,,MA,,Independent L3,James Holden,Vick Halwadjian,,Missing
Pristine Auto,17 Buckley Ave,Whitman,MA,02338,Independent L1,Brooke Beasley,Kieaux Kimmon,,Complete
Jidou Auto Sales,612 Mill St,Worcester,MA,01602,SDT,Jack Kelly,,,Complete
Colonial Volkswagen Medford,777 Mystic Avenue,Medford,MA,02155,Metro,Rebeca Cortazio,,Jonathan Noller,Complete (SPID 273699)
Herb Chambers Toyota Boston,1 Brighton Avenue,Boston,MA,02134,National,Dan Reiss,,Alex Bettina,Complete (SPID 41048)
McGovern CJDR Boston,135 Needham Street,Newton,MA,02464,Metro,Rebeca Cortazio,,Jonathan Noller,Complete (SPID 61598)
McGovern Honda Everett,155 Mystic Avenue,Everett,MA,02149,Metro,Rebeca Cortazio,,Jonathan Noller,Complete (SPID 58966)
